symbol,tick_time,decision,reason,score,mid,bid,ask,session,price_position,fvg_high,fvg_low,fvg_side,fvg_filled,fvg_age_bars,atr_20_1m,atr_15_15m,prev_day_high,prev_day_low,current_session_high,current_session_low,prev_session_high,prev_session_low,session_boundary,n_confirmed_swing_highs_15m,n_confirmed_swing_lows_15m,fvg_timestamp,smc_trend_15m,hh_15m,ll_15m,strong_low_15m,strong_high_15m,bos_detected_15m,choch_detected_15m,bos_up_15m,bos_down_15m,choch_up_15m,choch_down_15m,is_swing_high_15m,is_swing_low_15m,market_bias_4h,liq_swept,liq_side
XAUUSD,2024-01-02 12:30:59.142000+07:00,HOLD,hold,,2071.34,2071.195,2071.485,asian,,,,,False,0,0.35478195317266586,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:00.348000+07:00,HOLD,hold,,2071.33,2071.185,2071.475,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:02.306000+07:00,HOLD,hold,,2071.38,2071.235,2071.525,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:02.520000+07:00,HOLD,hold,,2071.39,2071.245,2071.535,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:04.130000+07:00,HOLD,hold,,2071.46,2071.315,2071.605,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:04.232000+07:00,HOLD,hold,,2071.53,2071.385,2071.675,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:04.384000+07:00,HOLD,hold,,2071.55,2071.405,2071.695,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:05.139000+07:00,HOLD,hold,,2071.58,2071.435,2071.725,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:05.241000+07:00,HOLD,hold,,2071.62,2071.475,2071.765,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:06.749000+07:00,HOLD,hold,,2071.63,2071.485,2071.775,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
